                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.2704,                 1.1303,                 1.5504,                      1,                0.96914,                0.98682,                0.74409,                0.89804,                 0.9173,                 1.3316,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.2098,                 1.1152,                  1.441,                0.99211,                0.92647,                0.98333,                0.70189,                0.97636,                0.87593,                 1.3838,               0.005842,               0.005842,               0.005842
                     86,                 1.2747,                 1.0992,                  1.482,                0.99562,                0.97059,                0.98466,                0.76053,                0.87016,                0.87781,                 1.3214,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.1615,                0.99978,                 1.4474,                0.98258,                0.97059,                0.98713,                0.74701,                0.97857,                0.95315,                 1.4184,               0.005743,               0.005743,               0.005743
                     88,                 1.1459,                0.94453,                 1.4207,                0.91387,                0.93628,                0.97829,                  0.704,                0.97032,                 1.0196,                 1.4365,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.1532,                 0.9684,                 1.4496,                0.97053,                0.96875,                0.98583,                0.78508,                0.96468,                0.87811,                 1.4239,               0.005644,               0.005644,               0.005644
                     90,                 1.1955,                0.95883,                 1.3644,                0.96896,                0.97059,                0.98368,                 0.7434,                0.90043,                0.96549,                 1.3556,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.1011,                0.95594,                 1.3733,                0.88751,                0.98529,                0.98711,                0.77233,                0.89814,                 1.3384,                 1.4257,               0.005545,               0.005545,               0.005545
                     92,                 1.0908,                 0.9986,                 1.3632,                0.84587,                0.96849,                0.91489,                0.70412,                0.96527,                 1.0606,                 1.4638,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.1353,                 1.0773,                 1.4872,                0.98445,                0.97059,                0.98245,                0.75414,                0.95962,                 1.0235,                 1.3567,               0.005446,               0.005446,               0.005446
                     94,                 1.1311,                0.94685,                 1.3819,                0.98479,                  0.952,                0.98253,                0.76941,                0.89263,                0.83552,                 1.3173,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.1038,                0.90931,                 1.4079,                0.98504,                0.96828,                0.98417,                0.76053,                0.90781,                 0.8164,                 1.3049,               0.005347,               0.005347,               0.005347
                     96,                  1.046,                0.83725,                 1.2774,                      1,                0.94053,                0.98575,                0.77447,                0.84471,                0.81992,                 1.2933,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.0668,                 0.8628,                 1.2812,                0.97007,                0.95324,                0.98551,                0.75102,                 0.8694,                0.85175,                 1.2936,               0.005248,               0.005248,               0.005248
                     98,                 1.1909,                0.97854,                 1.5149,                0.95203,                0.97059,                0.98572,                0.78365,                0.89564,                0.79271,                  1.288,              0.0051985,              0.0051985,              0.0051985
                     99,                0.93113,                 0.8809,                 1.2119,                 0.9564,                0.96789,                0.98679,                 0.7807,                0.90821,                0.87292,                  1.373,               0.005149,               0.005149,               0.005149
                    100,                0.99083,                0.80514,                    1.2,                      1,                0.96792,                0.98845,                 0.7872,                0.84744,                0.72898,                 1.2956,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.0572,                0.85975,                   1.34,                0.99463,                0.97059,                0.98747,                0.77785,                0.85934,                0.74545,                 1.3129,                0.00505,                0.00505,                0.00505
                    102,                 1.0543,                0.87837,                  1.204,                0.98451,                0.93484,                0.98265,                0.77143,                0.77475,                0.75284,                 1.2357,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.0785,                0.91019,                  1.293,                0.98874,                0.95588,                0.98619,                0.76857,                0.90034,                0.72607,                  1.299,               0.004951,               0.004951,               0.004951
                    104,                0.97488,                0.88811,                 1.3219,                0.96316,                0.95588,                0.98609,                0.80316,                0.80461,                0.71997,                 1.2482,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.0141,                 0.8099,                 1.3783,                0.99139,                0.95588,                0.98554,                0.76513,                0.90513,                0.72639,                 1.2672,               0.004852,               0.004852,               0.004852
                    106,                0.96159,                0.81461,                 1.2662,                  0.961,                0.95588,                0.98311,                0.77082,                0.78244,                0.72488,                 1.2268,              0.0048025,              0.0048025,              0.0048025
                    107,                0.97491,                 1.0274,                 1.5046,                0.98048,                0.95588,                0.98469,                 0.7945,                0.72519,                 0.6977,                 1.2058,               0.004753,               0.004753,               0.004753
                    108,                0.98073,                0.90862,                 1.3703,                0.97972,                0.95588,                0.98404,                0.76566,                0.81154,                0.76572,                 1.2167,              0.0047035,              0.0047035,              0.0047035
                    109,                0.91228,                0.79899,                 1.3038,                0.98813,                0.95588,                0.98779,                0.80508,                0.78692,                 0.7153,                 1.2203,               0.004654,               0.004654,               0.004654
                    110,                 1.0201,                 0.8946,                 1.2804,                 0.9852,                0.97926,                0.98747,                0.78391,                0.79396,                 0.7176,                 1.2538,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.0892,                0.88273,                 1.3981,                0.95466,                0.95588,                0.98255,                0.76738,                0.86232,                0.72748,                 1.2964,               0.004555,               0.004555,               0.004555
                    112,                0.93535,                 0.8306,                 1.2797,                0.95659,                0.97227,                0.98843,                0.77114,                0.77567,                0.70361,                 1.2375,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.0086,                0.82778,                 1.2645,                0.97049,                0.96723,                0.98777,                0.79713,                 0.7833,                0.72312,                 1.2109,               0.004456,               0.004456,               0.004456
                    114,                0.95431,                0.81171,                 1.2517,                0.98054,                0.94118,                0.98556,                0.78991,                0.79766,                0.71029,                 1.2215,              0.0044065,              0.0044065,              0.0044065
                    115,                0.96371,                0.82975,                 1.1633,                 0.9846,                0.94016,                  0.982,                0.72107,                0.82731,                0.83971,                 1.2128,               0.004357,               0.004357,               0.004357
                    116,                0.95399,                0.80246,                 1.1985,                      1,                0.92365,                0.98066,                0.80713,                0.71974,                0.73412,                 1.1664,              0.0043075,              0.0043075,              0.0043075
                    117,                0.97098,                0.82341,                 1.2868,                0.99476,                0.92647,                0.98555,                 0.8144,                0.71967,                0.67989,                 1.1581,               0.004258,               0.004258,               0.004258
                    118,                0.97101,                0.80263,                 1.2574,                0.98113,                0.98529,                0.98745,                0.81261,                0.73112,                0.68598,                 1.1739,              0.0042085,              0.0042085,              0.0042085
                    119,                0.94444,                0.82312,                  1.283,                0.97008,                0.95368,                0.98589,                0.80164,                 0.7176,                0.76559,                 1.1716,               0.004159,               0.004159,               0.004159
                    120,                0.99672,                0.85052,                 1.2752,                 0.9639,                0.82353,                0.95149,                0.75547,                0.74605,                 0.8793,                 1.1919,              0.0041095,              0.0041095,              0.0041095
                    121,                0.96433,                0.87341,                 1.2591,                0.93735,                0.98529,                 0.9845,                0.80543,                0.69974,                0.75242,                 1.1702,                0.00406,                0.00406,                0.00406
                    122,                0.96021,                0.84069,                 1.2576,                0.98458,                0.97059,                 0.9898,                0.79926,                0.73164,                0.73521,                 1.1804,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.1529,                0.88755,                 1.2501,                0.98498,                0.96421,                0.99013,                0.79539,                 0.7515,                0.78332,                 1.1933,               0.003961,               0.003961,               0.003961
                    124,                0.93761,                0.81594,                 1.2528,                 0.9951,                0.97059,                0.99062,                0.80937,                0.71875,                0.65504,                 1.1587,              0.0039115,              0.0039115,              0.0039115
                    125,                0.89736,                0.79555,                 1.1776,                0.98185,                0.97059,                0.98932,                0.80203,                0.72297,                0.65438,                 1.1444,               0.003862,               0.003862,               0.003862
                    126,                0.92506,                0.79989,                 1.2727,                  0.985,                 0.9655,                0.98867,                0.80926,                0.69922,                0.63099,                 1.1372,              0.0038125,              0.0038125,              0.0038125
                    127,                0.95048,                0.86481,                  1.183,                0.96852,                0.90494,                0.97867,                 0.8038,                0.68199,                0.75182,                 1.1267,               0.003763,               0.003763,               0.003763
                    128,                0.90409,                0.81859,                 1.1498,                0.99681,                0.98529,                0.99091,                0.82294,                0.69748,                0.65006,                 1.1228,              0.0037135,              0.0037135,              0.0037135
                    129,                0.84322,                0.73852,                 1.1916,                0.98405,                0.98529,                0.99116,                 0.8115,                0.72799,                0.66184,                  1.129,               0.003664,               0.003664,               0.003664
